Epoch,Phase,Right_Label,Pred_umdavb,Pred_rbbb,Pred_lbbb,Pred_sb,Pred_st,Pred_af
12,test,umdavb,656,9,1,14,21,8
12,test,rbbb,3,26,0,0,0,1
12,test,lbbb,3,0,23,0,0,1
12,test,sb,3,0,0,12,0,0
12,test,st,2,1,0,0,32,0
12,test,af,6,0,0,0,0,5
13,val,umdavb,12866,146,103,168,124,156
13,val,rbbb,66,720,7,16,3,10
13,val,lbbb,83,2,352,8,1,10
13,val,sb,74,2,0,362,0,9
13,val,st,69,5,3,1,475,19
13,val,af,76,8,8,12,20,371
13,test,umdavb,647,9,2,9,23,19
13,test,rbbb,4,26,0,0,0,0
13,test,lbbb,6,0,20,0,0,1
13,test,sb,1,0,0,13,0,1
13,test,st,0,0,0,0,35,0
13,test,af,3,0,0,0,0,8
14,val,umdavb,13076,124,80,124,110,49
14,val,rbbb,138,670,4,6,1,3
14,val,lbbb,109,5,327,8,1,6
14,val,sb,104,3,0,337,0,3
14,val,st,74,4,3,0,476,15
14,val,af,158,13,6,10,23,285
14,test,umdavb,661,6,2,9,22,9
14,test,rbbb,5,25,0,0,0,0
14,test,lbbb,7,0,20,0,0,0
14,test,sb,0,0,0,14,0,1
14,test,st,2,2,0,0,31,0
14,test,af,7,0,0,0,0,4
15,val,umdavb,12924,158,94,175,100,112
15,val,rbbb,66,737,4,10,1,4
15,val,lbbb,81,8,349,7,1,10
15,val,sb,76,4,0,359,0,8
15,val,st,71,8,4,1,469,19
15,val,af,98,16,6,16,17,342
15,test,umdavb,645,8,2,14,23,17
15,test,rbbb,3,26,0,0,0,1
15,test,lbbb,6,0,20,0,0,1
15,test,sb,2,0,0,12,0,1
15,test,st,2,1,0,0,32,0
15,test,af,6,0,0,0,0,5
16,val,umdavb,12868,161,107,165,125,137
16,val,rbbb,67,735,5,11,0,4
16,val,lbbb,103,5,333,8,1,6
16,val,sb,64,4,0,372,0,7
16,val,st,60,7,7,1,476,21
16,val,af,77,12,12,16,25,353
16,test,umdavb,642,6,1,13,29,18
16,test,rbbb,3,26,0,0,0,1
16,test,lbbb,9,0,18,0,0,0
16,test,sb,3,0,0,11,0,1
16,test,st,0,1,0,0,34,0
16,test,af,4,0,0,0,0,7
17,val,umdavb,12893,164,144,126,107,129
17,val,rbbb,50,741,9,13,0,9
17,val,lbbb,45,5,386,6,2,12
17,val,sb,95,4,1,340,0,7
17,val,st,78,7,6,1,462,18
17,val,af,92,8,10,9,18,358
17,test,umdavb,654,7,2,7,27,12
17,test,rbbb,4,26,0,0,0,0
17,test,lbbb,3,0,23,0,0,1
17,test,sb,3,0,0,11,0,1
17,test,st,2,2,0,0,31,0
17,test,af,4,0,0,0,0,7
18,val,umdavb,12934,127,107,144,132,119
18,val,rbbb,82,708,8,17,1,6
18,val,lbbb,63,3,369,11,2,8
18,val,sb,78,2,1,365,0,1
18,val,st,53,4,3,1,483,28
18,val,af,101,7,6,16,9,356
18,test,umdavb,654,6,2,8,31,8
18,test,rbbb,8,22,0,0,0,0
18,test,lbbb,3,0,22,0,0,2
18,test,sb,3,0,0,12,0,0
18,test,st,2,0,0,0,33,0
18,test,af,5,0,0,0,0,6
